shear_stress	shear_rate	viscosity	time	temperature	normal_stress
%Pa	1/s	Pa.s	s	°C	Pa
-5.089E-4	0.3005	1.693E-3	30.97	29.0	-24.76
4.731E-3	0.3433	0.01378	54.92	29.0	-24.76
4.675E-3	0.4075	0.01147	68.72	29.0	-23.52
2.155E-3	0.4849	4.445E-3	102.9	29.0	-23.52
3.906E-3	0.5522	7.074E-3	136.8	29.0	-23.52
-2.450E-3	0.6510	3.764E-3	170.9	29.1	-21.35
-4.492E-3	0.7527	5.968E-3	204.9	29.1	-23.52
-2.241E-3	0.8794	2.549E-3	238.9	29.1	-17.86
-1.615E-3	1.016	1.590E-3	272.9	29.1	-15.68
6.045E-3	1.193	5.066E-3	306.8	29.1	-16.12
2.321E-3	1.391	1.669E-3	341.0	29.1	-15.68
-3.289E-3	1.624	2.026E-3	374.9	29.1	-15.68
5.803E-4	1.892	3.066E-4	408.9	29.1	-15.68
6.022E-3	2.200	2.737E-3	427.9	29.1	-15.68
-1.038E-3	2.573	4.034E-4	461.8	29.1	-15.68
8.111E-3	2.999	2.705E-3	495.9	29.1	-31.37
7.005E-4	3.498	2.003E-4	524.8	29.2	-31.37
5.010E-3	4.080	1.228E-3	558.9	29.1	-31.37
7.944E-3	4.752	1.672E-3	592.8	29.1	-30.54
9.596E-3	5.543	1.731E-3	626.9	29.1	-25.70
9.085E-3	6.466	1.405E-3	660.8	29.0	-23.52
0.01552	7.541	2.058E-3	674.9	28.9	-23.52
0.01060	8.785	1.206E-3	708.8	28.8	-25.59
0.01509	10.24	1.473E-3	742.8	28.7	-31.37
0.01497	11.94	1.253E-3	776.8	28.5	-39.21
0.02657	13.92	1.908E-3	810.9	28.3	-47.05
0.03073	16.24	1.892E-3	844.7	28.1	-54.89
0.02822	18.93	1.491E-3	878.8	27.9	-70.57
0.03768	22.07	1.707E-3	907.8	27.7	-78.41
0.04067	25.73	1.581E-3	926.8	27.6	-86.26
0.04910	30.00	1.637E-3	945.8	27.5	-94.10
0.05842	34.97	1.671E-3	964.8	27.3	-103.2
0.06769	40.78	1.660E-3	983.9	27.2	-118.4
0.08024	47.54	1.688E-3	1003	27.1	-132.9
0.09169	55.44	1.654E-3	1022	27.0	-145.9
0.1091	64.64	1.688E-3	1041	26.9	-158.6
0.1265	75.36	1.678E-3	1060	26.8	-172.5
0.1458	87.85	1.659E-3	1079	26.7	-188.2
0.1713	102.4	1.673E-3	1098	26.7	-203.9
0.1979	119.4	1.657E-3	1117	26.6	-217.4
0.2327	139.2	1.671E-3	1136	26.5	-229.1
0.2681	162.3	1.651E-3	1155	26.5	-247.2
0.3178	189.3	1.679E-3	1174	26.4	-262.5
0.3727	220.7	1.689E-3	1193	26.4	-275.8
0.4317	257.3	1.678E-3	1212	26.3	-290.1
0.5023	300.0	1.674E-3	1231	26.3	-305.8
