shear_stress	shear_rate	viscosity	time	temperature	normal_stress
%Pa	1/s	Pa.s	s	C	Pa
727.4	500.0	1.455	15.34	25.2	5152
675.0	428.9	1.574	29.24	25.2	4496
624.4	367.8	1.698	43.28	25.2	3978
572.8	315.5	1.816	57.25	25.2	3530
523.2	270.6	1.933	71.30	25.2	3119
475.2	232.1	2.047	85.30	25.2	2746
437.5	199.1	2.198	99.17	25.2	2442
402.9	170.7	2.360	113.2	25.2	2162
367.5	146.4	2.510	127.3	25.2	1905
336.0	125.6	2.675	141.3	25.2	1670
306.1	107.7	2.842	155.3	25.2	1471
277.5	92.39	3.003	169.2	25.2	1286
251.8	79.24	3.178	183.2	25.2	1125
227.7	67.97	3.350	197.3	25.2	983.5
206.4	58.29	3.541	211.4	25.2	855.1
186.1	49.98	3.723	225.4	25.2	740.4
168.4	42.88	3.926	239.3	25.2	643.0
152.4	36.79	4.143	253.4	25.2	550.1
137.7	31.55	4.363	267.3	25.2	473.0
124.9	27.06	4.615	281.2	25.2	401.2
113.1	23.22	4.870	295.3	25.2	342.4
103.0	19.90	5.173	309.3	25.2	287.7
93.41	17.08	5.470	323.3	25.2	244.0
85.39	14.65	5.829	337.2	25.2	203.0
78.01	12.56	6.211	351.2	25.2	171.2
71.16	10.77	6.605	365.2	25.2	141.1
65.13	9.233	7.055	379.4	25.2	113.5
59.90	7.934	7.550	393.4	25.2	94.92
55.03	6.799	8.093	407.3	25.2	74.70
50.61	5.828	8.685	421.3	25.2	58.19
46.60	5.001	9.319	435.4	25.2	47.05
43.11	4.286	10.06	449.3	25.2	38.77
39.99	3.676	10.88	463.3	25.2	26.14
37.13	3.152	11.78	477.2	25.2	22.65
34.64	2.706	12.80	491.3	25.2	13.94
32.40	2.321	13.96	505.3	25.2	12.63
30.36	1.991	15.25	519.4	25.2	8.254
28.45	1.708	16.66	533.3	25.2	4.953
26.81	1.465	18.31	547.2	25.2	-1.238
25.31	1.256	20.15	561.2	25.2	-4.356
23.92	1.077	22.20	575.2	25.2	-6.099
22.61	0.9244	24.46	589.3	25.2	-7.842
21.49	0.7929	27.10	603.3	25.2	-10.46
20.42	0.6798	30.04	617.3	25.2	-15.25
19.44	0.5829	33.36	631.3	25.2	-18.73
18.48	0.4997	36.98	645.2	25.2	-21.78
17.62	0.4292	41.05	659.4	25.2	-23.11
16.80	0.3675	45.73	673.3	25.2	-21.78
16.04	0.3156	50.82	687.3	25.2	-23.52
15.30	0.2706	56.55	701.4	25.3	-25.18
14.54	0.2319	62.71	715.3	25.3	-28.48
13.88	0.1994	69.59	729.4	25.3	-32.19
13.23	0.1709	77.45	743.2	25.3	-30.49
12.63	0.1468	86.03	757.2	25.3	-36.59
12.03	0.1253	95.99	771.2	25.3	-37.90
11.48	0.1080	106.3	785.3	25.3	-37.03
10.96	0.09207	119.1	799.2	25.3	-35.72
10.52	0.07891	133.3	813.3	25.3	-38.77
10.12	0.06781	149.3	827.3	25.3	-39.64
9.767	0.05812	168.1	841.4	25.3	-42.51
9.420	0.04980	189.2	855.4	25.3	-44.00
9.136	0.04294	212.7	869.3	25.3	-39.64
8.825	0.03660	241.1	883.3	25.3	-40.95
8.550	0.03190	268.0	897.3	25.3	-42.26
8.419	0.02974	283.1	911.4	25.3	-43.33
